code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0049000046656,Orange soda,"Fanta,",Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,12.1127,45.0704
0049000050271,Strawberry Fanta,Fanta,Unknown,united-states,Unknown,Unknown,Unknown,unknown,4.0,Unknown,"carbonated water, high fructose corn syrup, natural flavors, citric acid, sodium benzoate, red 40",Unknown,Unknown
0049000081305,Fanta piña colada,Fanta,Unknown,united-states,Unknown,Unknown,Unknown,unknown,4.0,Unknown,"on facts contains no juice carbonated water, high er container fructose corn syrup, natural 02 (360 ml) flavors, malic acid, modified 12 f oz 14 food starch, potassium sorbate and sodium benzoate (to protect taste), sucrose sip &sca caffeine free 18% www.fanta.com scan here for more food information please recycle manicba",10.277777777778,38.888888888889
8001091003460,Quinoa Rossa Fantasia di verdure,Germinal,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8001120747273,Zuppa fantasia biologica,Vivi Verde,"plant-based-foods-and-beverages, plant-based-foods, legumes-and-their-products, cereals-and-potatoes, legumes, seeds, cereals-and-their-products, legume-seeds, cereal-grains, barley, wheats, emmer-wheats",italy,Unknown,Unknown,Unknown,a,1.0,Unknown,"ZUPPA FANTASIA BIOLOGICA MISCELA DI LEGUMI E CEREALI BIOLOGICA Ingedienti: grano farro perlato secco&quot;, orzo perlato secco, lenticchie verdi piccole secche*, lenticchie rosse secche*, lenticchie rosse decorticate secche*, lenticchie gialle decorticate secche, piselli verdi spezzati secchi&quot;, lenticchie verdi grandi secche*. *Biologici.",Unknown,Unknown
9300605096837,Fantales Family Size,Nestlé,Unknown,australia,Unknown,Kmart,Unknown,unknown,4.0,unknown,"portions 加 br mony s 从心 good food, good life® nestlé limited, 12-16 1010 zealan ake approx 3 fantales keaveragequantity per serving serving 380kj ergy protein fat, total saturated carbohydrate 1479 - sugars sodium 4% 1% 5% 2% 5% 12% % 00l 8 20g 6el dull our keep the smiles going by enjoying the right portion combined with physical activity contains no artificial colours. 3 fantales® children less then 4 vears heve imited chewng ability and coud chóke on smal pieces. one serve nutritional compass® ingredients. glucose syrup, sugar, sweetened condensed milk (milik, sugar), vegetable fat [emulsifiers sorbitan tristearate, soy lecithin]), milk solids, invert sugar, cocoa^, salt emulsifier (soy lecithin), flavour. contains milk and soy. may contain tree nuts. product contains 73% caramel and 27% compound chocolate. made in australia. store cool and dry. arainforest alliance certifiedm cocoa. find out more at ra.org confectionery itm nestle. in australia call 1800 025 361 www.nestle.com.au nestlé australia ltd, 1 homebush bay dr, rhodes nsw 2138, australia. in new zealand 0800 830 840 www.nestle.co.nz good to talk nesnicholls lane, parnell, auckland, 1010 new zealan bag",44.4,363.28872
8019514070609,Fantasia di verdure,Bennet,Unknown,italy,Unknown,Bennet,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0049000030730,Orange soda,"Fanta,Coca-Cola","beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, sweetened-beverages",united-states,Unknown,Unknown,Unknown,e,4.0,Unknown,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CITRIC ACID, SODIUM BENZOATE (TO PROTECT TASTE), NATURAL FLAVORS, MODIFIED FOOD STARCH, SODÌUM POLYPHOSPHATES, GLYCEROL ESTER OF ROSIN, YELLOW 6, RED 40.",Unknown,Unknown
4062400028004,Fanta Lemon,Fanta,Unknown,united-kingdom,glass-bottle,Unknown,Unknown,unknown,Unknown,unknown,Unknown,Unknown,Unknown
5449000303547,Fanta con limone e sambuco,Fanta,Unknown,italy,it:bottiglia-pet,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5449000299161,Fanta senza zuccheri aggiunti,Fanta,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5449000147172,Fanta Orange,Fanta,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8008660772130,Confettura extra Fantasy,"Fantasy, Menz & Gasser","breakfasts, spreads, sweet-spreads",italy,Unknown,Unknown,Unknown,d,Unknown,Unknown,Unknown,Unknown,Unknown
8005525036499,Peperoncino,Fantasie Aromatiche,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
39424556,Nutella,Fanta,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8025797060107,Funghi fantasia di bosco 4 varietà,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8028129003216,Musli fantasia croccante al farro integrale,Viologic,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0841905060016,Dark Fantasy Choco Fills LUXURIA,Sunfeast,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,36.0,520.0
8006476110061,Fantasy Tartufo,Gelati Royal,"desserts, frozen-foods, frozen-desserts, ice-creams-and-sorbets, ice-creams",italy,Unknown,Unknown,Unknown,d,Unknown,Unknown,Unknown,Unknown,Unknown
5449000298652,Fanta  zero zuccheri,Fanta,Unknown,italy,"plastic, hdpe-high-density-polyethylene, it:bottiglia-pet",Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8031738040008,Fantasia,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8002970116301,Mix funghi fantasia,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8009710001903,Rom Fantasia,Valdoglio,"beverages, alcoholic-beverages",italy,Unknown,Unknown,Unknown,not-applicable,Unknown,Unknown,Unknown,Unknown,Unknown
8000003058529,Fantasia di verdure,Nattùra,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8001300437505,FANTASIA DI FAGIOLI,"Despar, Spar",Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4099200873114,Insalatadi riso FANTASIA,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0049000545432,Fanta,Fanta,"beverages, carbonated-drinks, sodas",united-states,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4059699171207,Fantasia mediterranea,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0397269153760,Fantasia di pollo e peperoni,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5449000256751,Aranciata rossa,Fanta,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, beverages-with-orange",italy,Unknown,Unknown,Unknown,d,4.0,Unknown,"Acqua, succo di &quot;Arancia Rossa di Sicilia IGP&quot; da concentrato (20%), anidride carbonica, acidificanti: acido citrico e acido malico, estratto di patata dolce, cartamo, carota e ciliegia, aromi naturali di agrumi, correttore di acidità: gluconato di sodio, edulcoranti: ciclammato di sodio, acesulfame K e sucralosio, conservante: sorbato di potassio, antiossidante: acido ascorbico.",Unknown,Unknown
5449000011312,Fanta orange,Fanta,Unknown,united-kingdom,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5000112644876,Fanta Grape,Fanta,Unknown,united-kingdom,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8005695008074,Insalatella - fantasia di verdure,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9310036074649,fantale custard,Unknown,Unknown,australia,Unknown,Unknown,Unknown,unknown,4.0,unknown,"noion ving size: 170 g cream, milk solids. thickener per 100 g (1442, from 637 kj (152 cal) tapioca), cocoa (1.5%). flavours, stabilisers (407, 452,412,415. 410). 18.5g 4mg 113 mg rary intake in en 1°c and 5 °c. 8112493 nol reg. est. no. 677",Unknown,Unknown
8005525036444,Pepe,Fantasie Aromatiche,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8004263910634,Contorno fantasia,Pam Panorama,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8023788022745,Fantastic burger,Vegamo,"plant-based-foods-and-beverages, plant-based-foods",italy,Unknown,Unknown,Unknown,d,Unknown,Unknown,Unknown,Unknown,Unknown
3083680678407,Contorno Fantasia,"Bonduelle, Bonduelle restauration",vegetables-unprepared-unprocessed-frozen,italy,Unknown,Unknown,Unknown,a,4.0,Unknown,"Green zucchini, carrots, prefried potatoes 30% (potatoes, sunflower oil, stabiliser : E450). May contain : CELERY",Unknown,Unknown
8032727111433,Farfalle Fantasia,Natura Amica,"plant-based-foods-and-beverages, plant-based-foods, pastas",italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
